alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.5,0,38.03333333333333,36.70647838673108,76.9286666666666,12.100188171172277,0
0.4,0,34.4,24.685488314662386,76.70011111111108,8.168766327970667,0
0.3,0,47.0,31.22498999199199,71.4597777777778,9.497927061687506,0
0.2,0,58.93333333333333,29.452711627662097,67.12344444444447,8.091098926567788,0
0.1,0,76.03333333333333,26.660186712691182,61.5527777777778,6.872223592023585,0
0,0.5,104.63333333333334,55.02089502079087,55.25066666666665,17.582682776801395,1
0,0.3,116.96666666666667,43.984454324479486,50.52666666666667,12.49759879159016,1
0,0.4,121.73333333333333,42.85551954597629,49.20199999999999,13.157010202986134,1
0,0.2,117.16666666666667,30.99578824435489,50.314444444444455,8.822092316423944,1
0,0.1,128.4,26.824864087881853,47.802222222222234,6.814810360304514,1
0,0.0,156.16666666666666,9.933389261587518,41.653111111111116,1.9929730133894863,1
0.0,0,156.16666666666666,9.933389261587518,41.653111111111116,1.9929730133894863,0
0.6,0,46.06666666666667,32.41494854058678,75.75611111111103,10.985782700527498,0
0.7,0,59.1,43.859130558337945,72.38011111111105,15.431728413872017,0
0.8,0,41.56666666666667,28.10893491796198,79.19911111111104,10.249873203672202,0
0.9,0,42.53333333333333,39.359652211652254,79.65455555555549,14.002450697760354,0
0,0.6,127.1,45.275710927604436,48.524666666666654,14.884100231579435,1
0,0.7,112.6,59.95865241981344,54.1082222222222,20.432463054392972,1
0,0.8,109.93333333333334,60.62229146297772,56.03655555555553,20.73237283383131,1
1.0,0,88.4,48.56308611829909,63.4712222222222,17.141247231584995,0
0,0.9,111.2,51.30717948461664,55.54866666666665,17.949974963358137,1
0,1.0,117.63333333333334,54.71653213507677,53.930222222222206,19.021967397047028,1
