alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.5,0,26.0,3.0,80.60333333333325,0.2600000000000051,0
0.1,0,27.0,3.0,74.65833333333339,0.2049999999999912,0
0.4,0,48.5,10.5,71.49499999999999,3.1116666666666504,0
0.2,0,37.0,4.0,71.80666666666673,1.7566666666666961,0
0.3,0,45.0,1.0,68.52000000000007,0.7733333333333334,0
0,0.4,123.5,5.5,42.951666666666675,2.491666666666653,1
0,0.1,111.5,4.5,48.08666666666668,1.3966666666666683,1
0,0.2,133.0,1.0,41.531666666666666,0.7316666666666585,1
0,0.3,132.5,8.5,42.156666666666666,2.096666666666664,1
0.0,0,123.0,9.0,46.87333333333336,1.8633333333333155,0
0,0.0,123.0,9.0,46.87333333333336,1.8633333333333155,1
0,0.5,150.0,8.0,37.62666666666667,2.7033333333333402,1
0.6,0,17.0,6.0,85.2466666666666,1.3933333333333309,0
0.7,0,36.5,16.5,79.49666666666656,5.030000000000001,0
0.8,0,47.5,27.5,76.19499999999996,11.41499999999997,0
0.9,0,13.5,0.5,89.72833333333324,0.45166666666661826,0
1.0,0,54.5,27.5,74.8349999999999,9.39499999999996,0
0,0.6,151.5,4.5,36.71,1.1533333333333218,1
0,0.7,149.5,8.5,37.908333333333324,2.9250000000000043,1
0,0.8,152.5,3.5,37.37499999999999,1.5216666666666612,1
0,1.0,164.0,10.0,34.83833333333335,2.938333333333359,1
0,0.9,159.5,2.5,36.97833333333333,0.2216666666666569,1
