alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.3,0,24.5,11.5,78.65999999999997,3.749999999999993,0
0.2,0,33.5,15.5,74.52666666666673,4.5800000000000125,0
0.5,0,57.0,22.0,71.69833333333327,6.034999999999982,0
0.4,0,69.0,27.0,65.29499999999993,10.531666666666634,0
0,0.4,76.0,75.0,63.76500000000003,24.715000000000007,1
0,0.3,73.5,16.5,62.56666666666668,3.1099999999999994,1
0,0.5,91.5,67.5,59.823333333333295,21.843333333333316,1
0.1,0,80.5,31.5,61.17500000000003,7.591666666666704,0
0,0.2,126.0,31.0,46.23500000000002,8.878333333333302,1
0,0.1,132.5,15.5,47.44333333333332,3.6700000000000017,1
0.0,0,150.0,3.0,43.27666666666668,1.3766666666666936,0
0,0.0,150.0,3.0,43.27666666666668,1.3766666666666936,1
0.7,0,19.5,16.5,87.5516666666666,4.971666666666678,0
0,0.8,1.0,0.0,94.80666666666669,0.12000000000003297,1
0.9,0,6.5,4.5,93.10333333333331,2.266666666666694,0
0,0.6,81.5,80.5,64.37333333333328,27.809999999999956,1
0.6,0,77.0,39.0,64.97500000000001,12.645000000000042,0
0.8,0,59.0,58.0,73.27499999999998,21.911666666666612,0
0,1.0,21.0,20.0,88.48499999999996,7.451666666666675,1
0,0.7,90.0,89.0,63.223333333333315,30.81333333333332,1
0,0.9,86.0,85.0,66.14499999999997,29.498333333333335,1
1.0,0,80.0,27.0,68.22499999999994,9.654999999999976,0
