alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0,0.3,117.87,13.033537509057163,34.9745,1.191803803297993,1
0,0.2,133.81,11.107380429246133,34.03513333333333,0.8923396737416385,1
0,0.5,92.57,11.41337373435217,37.08196666666666,1.3651979176824285,1
0.0,0,188.69,12.210401303806522,31.900033333333337,0.6614064971289907,0
0,0.4,103.11,10.194993869542051,36.10283333333333,1.1282570013570121,1
0,0.1,158.74,11.80052541203145,32.968500000000006,0.7754743888599928,1
0.1,0,135.37,18.95766599558079,35.06426666666667,1.4214499701986625,0
0,0.0,188.64,11.170067143934274,31.94543333333333,0.5849295598616979,1
0.2,0,97.81,18.202579487534177,39.07616666666667,2.046609520103379,0
0.3,0,74.03,16.097487381576045,43.492666666666665,2.5442098533292787,0
0.4,0,58.41,16.426865190899935,48.206900000000005,3.295921461274359,0
0.5,0,41.16,15.643989261054868,54.52453333333334,4.284183612622903,0
0,0.6,87.71,9.98728691887842,37.518333333333324,1.330505960569554,1
0,0.7,84.06,8.695769086170584,37.82736666666667,1.5527773178691433,1
0,0.8,82.39,10.953442381279046,38.16996666666667,1.7397816271015176,1
0,0.9,82.25,11.316691212540881,38.122066666666676,1.9609836409312549,1
0,1.0,90.88,9.207909643344683,36.7331,1.6778256600599326,1
0.6,0,33.46,13.369682120379675,59.61773333333332,4.665245637929703,0
0.7,0,25.05,11.79523208758522,65.37366666666667,4.682896337856645,0
0.8,0,21.0,8.98443097808648,69.52523333333335,4.313265049820149,0
0.9,0,18.07,10.378106763759948,72.68456666666671,4.90632991722599,0
1.0,0,18.0,10.730330842988952,72.65636666666671,5.513763648966716,0
