alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.5,0,8.0,5.0,86.97333333333329,1.636666666666713,0
0.4,0,38.0,30.0,76.04666666666662,10.696666666666651,0
0.3,0,54.0,31.0,68.69666666666666,9.270000000000003,0
0.1,0,77.5,31.5,60.613333333333365,8.82666666666666,0
0.2,0,80.5,16.5,60.4966666666667,3.8233333333333555,0
0,0.1,86.0,21.0,60.31166666666669,5.335000000000001,1
0,0.5,102.5,83.5,57.33833333333324,25.314999999999927,1
0,0.3,130.0,5.0,46.19166666666668,1.6283333333333267,1
0.6,0,20.0,5.0,84.25499999999991,0.4516666666666609,0
0.0,0,152.0,2.0,42.846666666666685,1.5100000000000122,0
0,0.2,145.5,30.5,43.52333333333334,7.030000000000012,1
0,0.0,152.0,2.0,42.846666666666685,1.5100000000000122,1
0,0.4,171.5,1.5,34.20333333333333,0.7233333333333256,1
0,0.6,86.5,22.5,62.421666666666646,6.601666666666624,1
0.8,0,46.0,15.0,76.86833333333328,3.3416666666666615,0
0.7,0,70.5,22.5,66.87666666666661,9.543333333333308,0
0.9,0,53.0,12.0,74.94333333333326,5.0033333333333445,0
0,0.7,89.0,14.0,62.25333333333327,4.713333333333313,1
0,0.8,117.0,69.0,55.56833333333332,23.438333333333325,1
0,1.0,105.0,71.0,57.43666666666662,25.119999999999955,1
1.0,0,131.5,56.5,48.30666666666666,18.939999999999984,0
0,0.9,135.5,17.5,45.53333333333333,5.829999999999966,1
