alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.5,0,16.53,8.364753433305731,60.21366666666665,2.7977047934174633,0
0.4,0,26.26,12.138879684715555,53.82463333333335,3.0022725057677375,0
0.3,0,36.5,13.601102896456597,48.57576666666667,2.5917526826026056,0
0.2,0,58.99,17.666632389903853,42.95869999999999,2.32943249621972,0
0,0.5,83.45,9.645076464186275,38.2045,1.2729436030974313,1
0,0.4,91.56,10.786398842987403,37.40173333333333,1.257351226454511,1
0,0.3,99.09,10.088701601296371,36.62486666666667,1.0152573204201316,1
0,0.1,135.69,13.481613404930435,34.3064,0.8003440482414766,1
0.1,0,99.44,16.55676296864819,37.68546666666666,1.3839287489687544,0
0,0.2,113.85,11.263547398577414,35.4675,0.9949200274952329,1
0,0.0,169.3,12.805077118080938,32.89543333333334,0.7293028109091616,1
0.0,0,169.3,12.805077118080938,32.89543333333334,0.7293028109091616,0
0.6,0,14.24,8.033828477133428,64.93259999999998,3.2858682796349323,0
0.7,0,9.91,5.94658725656994,70.09936666666667,2.998417200791124,0
1.0,0,8.52,8.383889312246435,76.48180000000004,4.401806988044806,0
0.9,0,8.16,5.763193559130215,76.29303333333338,3.3119119048603363,0
0.8,0,9.86,6.899304312755019,73.39000000000004,3.742968340769146,0
0,0.8,74.93,8.795743288659578,39.750800000000005,1.5347909101170054,1
0,0.6,79.93,7.992815523956499,38.911,1.168698849148061,1
0,0.7,76.52,8.874097137174012,39.21753333333333,1.5951875974665548,1
0,0.9,75.25,8.162566998193643,39.669,1.5581803133427432,1
0,1.0,86.14,7.9799999999999995,38.07193333333333,1.5240133551470818,1
